,cc01-20covid1,cc01-20covid2,cc03-19covid,cc01-20mock2,cc01-20mock1,cc03-19mock1
LAMTOR5,5238,5675,3854,4266,4382,4135
ADAM30,0,0,0,0,0,0
NOTCH2,2562,3107,4005,5981,5721,3625
TRIM45,100,56,126,139,195,67
CEPT1,1267,1299,1295,1036,1338,1334
CD101,12,15,22,2,1,2
VTCN1,672,762,999,770,778,224
NGF,6,7,3,21,25,1
AP4B1,1014,1027,1243,804,812,655
NAPG,2857,2919,2532,1535,1857,2227
SPIRE1,1960,1968,2950,2450,3214,1883
PPHLN1,2702,3167,2231,1520,1797,2466
FKBP11,618,712,753,785,1084,935
ARF3,6336,6418,4012,3092,3313,5629
TMEM106C,4134,4298,2395,2081,2172,1912
SLC38A2,11866,10846,14295,11837,11959,28020
PLEKHA8P1,270,263,132,125,124,129
YWHAQ,30610,30124,18302,11625,11669,28352
KIDINS220,2907,3038,2701,4166,4763,2783
GRHL1,2381,2521,6416,4856,2390,1884
ROCK2,2763,3061,1966,1780,2244,2308
RSAD2,4256,8184,11823,316,154,449
MYCN,10,9,12,33,2,1
LPIN1,3676,3797,5324,3542,3519,2939
CMPK2,2143,3433,6336,383,310,461
IAH1,1714,1922,1294,1397,1414,1462
LDHA,66341,67365,100703,50571,75522,81987
SAA2,2359,2821,5342,2310,2496,29094
ANO3,0,2,19,62,39,33
IL6ST,7439,7346,7895,5799,7426,6023
FST,1475,1433,975,98,95,2033
CFHR4,0,0,0,0,0,0
NAV1,712,744,1735,1053,1171,2835
CDC73,2924,3205,2468,1853,2294,2884
TIMM17A,5459,5498,3826,1798,1737,5651
CRB1,0,0,0,1,3,1
CFHR5,0,0,0,0,0,0
AC008870.1,1813,2243,5609,1078,1452,2516
RPS15A,3891,4061,4352,4220,3980,4613
RAX,1,0,4,0,2,0
NARS1,13356,13950,10316,7339,8387,12349
GRP,0,0,0,0,0,0
RELCH,2455,2430,3719,2725,2488,2768
FBH1,4658,4356,4174,2691,3352,4838
RBM17,3307,3346,4155,2353,2319,3209
IL2RA,0,0,0,0,0,0
ANKRD16,195,204,176,408,474,252
ECHDC3,1072,1237,591,671,874,819
IL15RA,1106,1212,801,444,496,751
CCNH,1633,1614,1251,1065,1224,1636
HRH4,0,0,1,0,3,1
TMEM241,1739,1629,695,661,944,1001
KCTD1,852,824,413,650,578,778
CABLES1,689,705,678,429,369,528
DOCK2,62,112,70,263,251,91
EMP1,6029,5697,10463,5509,3088,5062
SOX5,18,4,51,53,65,32
RERG,55,53,8,37,52,19
SLCO1B1,0,11,4,0,0,0
KLRD1,0,0,25,14,12,2
KLRC1,13,21,10,8,15,64
SPX,0,0,4,2,6,62
PRH2,3,4,7,4,7,0
LRP4,55,101,420,530,697,518
MYBPC3,0,0,2,0,1,1
DDB2,1445,1557,2963,3167,4297,1513
ACP2,3020,3162,2903,1819,2020,2598
USP26,0,0,0,0,0,0
RTL8C,2866,2924,2034,2336,2442,4000
RAB33A,5,7,13,9,9,1
SOX3,0,1,0,0,0,0
RBMX2,344,381,370,380,339,370
STK26,2383,2198,1507,1156,1156,2147
FOLH1B,0,1,0,4,0,0
PIWIL4,13,14,13,40,23,34
MTNR1B,0,0,0,0,0,0
PUM1,6669,6575,7121,6341,7860,5600
SPOCD1,2394,2548,1836,399,436,1212
YARS1,8761,9154,6268,5415,7014,9094
PHC2,7433,7743,7900,5448,7205,7258
CDCA8,1014,1024,568,180,164,1034
GNL2,5491,5196,4197,2765,3702,4566
AGO4,813,835,924,1071,1171,311
HOOK1,1045,1125,1099,1002,1518,422
CYP2J2,612,797,599,507,475,264
BTF3L4,2681,2710,2701,2096,2302,2534
TUT4,718,929,841,1476,1416,519
PRPF38A,1806,1936,2104,1334,1755,1518
DSC2,5929,5614,2581,6285,1964,6804
DSG3,4654,4441,4364,12406,4406,21603
RNF138,1359,1467,1084,817,1119,1093
ELP2,2581,2453,2675,2994,3584,2705
DSG1,89,5,8,413,0,13
DSC3,1117,1434,1577,3171,2484,3902
DSC1,66,0,0,0,1,15
DTNA,122,103,103,83,131,231
FHOD3,187,226,94,106,182,468
TPGS2,4513,4706,3254,2755,2818,3921
DAGLA,264,296,344,99,184,186
SLC43A3,7551,7626,4600,3379,4119,2602
TIMM10,767,766,553,285,296,807
CBLIF,0,0,4,0,0,0
DHX34,1420,1599,1691,918,1332,1272
APLNR,0,0,0,9,0,0
FADS2,21635,20565,10710,9267,10872,22415
TMEM258,1968,2161,1492,1852,2293,1360
TCN1,2436,2709,5875,7162,4557,6937
C5AR2,5,12,18,13,5,20
TMEM165,15211,15071,20127,10845,10473,9101
CLOCK,1568,1872,1699,946,1264,990
PDGFRA,498,466,2743,1527,1849,4459
GGACT,171,154,95,157,149,166
COL4A2,965,856,4003,2747,4104,8788
CLDN10,461,531,1416,752,1102,342
DZIP1,22,65,54,206,142,325
UBAC2,3868,3760,4285,3001,3037,3896
ARGLU1,3788,3918,7771,7978,8770,3826
BIVM,853,948,699,1004,1170,1099
ERCC5,2584,2893,3843,3160,3715,2836
TPP2,2810,3006,2036,1953,2079,2317
POGLUT2,130,154,189,145,164,323
CARS2,5049,5093,3082,2162,2644,4654
ARHGAP32,1357,1497,5503,3325,3049,2178
STT3A,11381,11435,7233,6583,9222,8432
ADAMTS8,3,1,0,28,29,4
ACRV1,0,2,0,0,0,4
ETS1,1194,1143,918,245,421,1096
SLC37A2,446,376,2990,2205,609,1956
KLB,79,62,49,30,23,13
TMED7,6391,6184,5142,3542,4608,5748
APC,803,864,686,794,762,1194
NREP,812,841,297,1125,1117,493
WDR36,2547,2365,1894,1050,1606,2772
OSTF1,2789,2864,3208,1659,1581,2751
RFK,1842,1688,1228,711,702,1509
UBQLN1,6103,6183,5845,3839,4313,5792
NAA35,2031,2192,1942,1273,1333,1667
C9orf40,421,402,212,258,275,315
ANXA1,57029,59590,75362,50379,21255,93321
CTSL,2996,2932,3293,1688,2416,4926
CEMIP2,2520,2921,2592,2402,3630,2362
AGTPBP1,914,1023,582,743,833,804
GOLM1,14601,14575,14724,6790,8617,10584
FAM189A2,600,598,313,207,241,443
PSAT1,2516,2717,1270,1045,970,3062
ISCA1,1746,1989,1298,967,1233,1755
ADAM19,219,170,281,47,26,212
HAVCR2,0,0,1,0,13,3
CCNJL,1908,2026,1204,1339,1840,676
TAOK3,2955,3037,3693,2233,2555,2820
USP30,710,769,865,1029,1011,599
SDS,2,3,3,1,1,0
MSI1,0,0,0,0,0,0
HNF1A,10,0,0,0,6,0
FBXO21,3019,3445,2659,2790,3417,2739
TBX3,375,282,1633,1661,2069,2596
OASL,893,1987,4957,133,21,229
HRK,2,9,6,13,16,7
RNFT2,59,55,37,63,15,11
P2RX4,1566,1656,1043,1338,2121,532
BICDL1,447,587,1358,399,293,388
DTX1,6,1,4,12,17,35
TRAFD1,9733,9057,7508,4396,4887,5711
DMTF1,1547,1798,1984,1890,2088,1223
OCM2,0,0,0,0,0,0
TMEM243,1515,1582,1315,2666,2889,1015
CCDC146,215,222,481,473,522,28
TMEM60,807,834,471,789,782,495
CD36,5952,6204,2500,7853,8525,4598
UGT2A3,0,0,0,1,0,0
CSN2,0,0,0,0,0,0
UGT2B28,0,0,6,4,1,6
PNPLA8,3907,3802,2577,2059,2024,2862
HILPDA,893,780,10507,12269,16866,924
FAM71F1,0,4,0,0,0,0
RINT1,2260,2313,1668,1429,1392,2133
SRPK2,1709,1677,1601,1270,1281,1953
KCP,107,173,542,169,208,331
TES,10394,10342,6544,3296,4169,5370
MDFIC,2155,2153,1317,1748,1692,1547
MTO1,1675,1647,1260,1169,1210,1223
ADGRB3,0,6,0,0,0,0
ANKRD6,840,762,507,651,602,492
HTR1B,0,0,1,12,0,0
KHDC1,181,186,148,203,232,171
CEP162,420,439,242,291,352,181
SYNCRIP,7491,7782,5220,2540,2797,8207
SNX14,5127,4733,3639,3127,2798,4011
NT5E,2562,2498,4033,835,730,9028
MRAP2,25,14,16,35,14,56
EPHA7,0,4,0,0,0,12
AKIRIN2,1786,1716,1852,1311,1303,2325
ORC3,1772,1810,1395,1282,1630,1581
LCA5,454,608,320,583,782,276
MAP3K7,2869,3125,2775,1886,2178,3300
CGA,0,15,3,0,0,1
GJA10,0,0,0,0,0,0
PRR5L,148,179,159,74,140,39
LMO2,97,166,666,120,79,31
PHF21A,561,612,855,758,881,524
NAT10,2881,2972,2004,2130,2348,2880
EHF,7906,9103,19713,14254,12575,7117
ELF5,728,757,574,2566,2249,282
PRRG4,2817,2846,3058,1626,1786,1749
CAPRIN1,17764,17168,12242,8257,9932,14794
ATP5MC2,3902,4050,3596,4627,5196,4551
DNAJC14,1796,1615,1632,1397,1689,1715
CD63,58071,57794,36434,28587,32147,41557
PRPH,1,4,0,1,9,0
AVIL,62,62,67,91,69,23
AMHR2,0,0,0,5,5,3
LACRT,0,0,0,0,0,0
GDF11,55,54,120,114,142,51
GLS2,314,290,126,246,360,93
ITGA7,54,89,109,28,55,27
TESPA1,0,0,0,0,0,0
FAM186B,7,4,4,22,33,24
RDH5,49,59,79,76,100,34
AGAP2,2,6,3,5,12,15
BLOC1S1,1337,1514,967,829,692,932
KRT85,0,3,0,0,0,0
CDK4,4634,4893,2714,3273,4021,4004
PPP1R1A,0,0,0,1,0,2
TROAP,291,392,196,77,16,225
TSPAN31,2301,2353,2043,2313,2579,1518
B4GALNT1,15,37,33,60,70,40
TFCP2,950,1037,918,788,838,947
COQ10A,340,264,228,336,463,157
FAIM2,0,0,4,32,1,0
PAN2,1014,1157,2373,3496,3960,720
ESPL1,263,365,655,1374,256,632
KRT87P,40,21,17,5,0,1
KRT7,282401,264569,95731,11251,12097,38529
ZC3H10,317,375,208,331,366,149
HNRNPA1,15487,16439,10646,8716,9719,12218
SLC26A10,0,0,4,6,4,6
ACVR1B,404,464,576,700,634,450
OS9,7777,7976,8095,8298,9607,7357
MIP,1,11,6,1,1,6
KCNH3,26,46,7,37,39,2
LTV1,1939,2220,1821,815,921,1928
MAP7,2828,2884,2726,2322,2540,2380
CD164,25676,25116,26556,20296,27641,19278
AFG1L,263,254,181,148,156,153
NHSL1,163,249,532,488,238,602
AHI1,573,768,811,1208,1495,528
HEY2,16,31,15,63,82,43
PKIB,3699,3699,1201,1023,1315,2157
TAAR5,0,0,0,0,0,0
NMBR,0,0,0,3,5,0
SMPD2,961,1008,689,638,601,660
MICAL1,2010,1948,1787,886,727,2108
REPS1,2294,2032,2515,1584,1678,2621
STX11,1471,1451,1186,755,745,596
TEC,177,253,147,184,325,107
PRADC1,774,717,427,290,268,731
SEMA4F,1297,1591,614,743,1016,499
CCT7,15047,15065,9305,5853,5991,16002
EGR4,216,164,9,0,0,65
RAB11FIP5,2913,2636,3035,1929,2668,3357
SMYD5,1101,1033,743,611,786,907
DYSF,947,969,484,316,384,2250
CCDC142,684,556,977,875,731,364
EMX1,0,0,0,0,8,0
KCNMB4,14,6,24,6,24,88
USP15,3202,3302,4675,1877,2093,3309
GNS,10851,11680,9833,9491,11147,13786
CPM,4331,4552,3725,3667,2785,2857
MDM2,3122,3333,3903,3073,3179,3589
KLHL36,1351,1485,2034,1682,1836,1292
BCO1,13,13,27,13,9,7
MPHOSPH6,1530,1602,1417,835,727,2394
CHST5,0,3,0,3,1,0
KIAA0513,1009,1266,1362,964,1100,985
DYNC1LI2,6940,7369,6492,4768,5134,5122
FBXL8,240,331,551,660,727,380
FHOD1,1638,1591,990,839,801,1017
CCDC102A,328,224,170,246,184,198
SLC9A5,139,171,226,302,383,163
AGT,49,61,14,65,199,342
ZNF670-ZNF695,5,0,0,0,0,2
PCNX2,190,208,211,207,129,331
KCNK1,1190,1157,2248,1075,1075,957
URB2,822,870,656,308,226,881
EGLN1,3239,2929,3849,4140,5470,2934
CAPN9,2321,1903,753,591,669,754
COG2,2195,2243,1955,1247,1469,1804
ABCB10,1611,1687,1290,831,958,1770
NTPCR,958,999,1089,914,1086,1454
TAF5L,1004,1009,745,530,565,1021
GLUL,41970,45246,83225,91400,99196,46042
STX6,2922,2962,2436,2589,2942,3528
RGS8,0,2,0,0,0,0
RNASEL,1449,1359,2371,1591,1794,1089
DHX9,7454,7620,5524,3436,3929,6580
KIAA1614,19,6,29,65,29,62
CEP350,1074,1110,1779,1926,2004,1120
NPL,455,557,526,992,969,709
NIBAN1,708,597,923,933,917,687
PIGC,1048,1085,766,869,807,803
LAMC1,5369,5539,4564,3787,4933,9743
RC3H1,1166,1384,2260,1272,1381,945
GPR55,2,0,0,0,3,7
SP110,1271,1598,1674,533,501,774
MRPL44,1980,1896,1739,959,907,1968
CHRND,0,0,1,0,0,0
PAX3,0,0,0,0,1,2
DOCK10,58,85,180,111,150,270
TTLL4,1228,1365,1674,748,1177,1135
USP37,683,619,645,915,1303,331
HTR2B,27,34,80,15,45,12
ITM2C,904,865,980,1251,1303,3130
SLC19A3,29,52,22,99,102,18
SERPINE2,1080,929,994,454,609,5137
DNAJB2,969,911,728,816,852,511
WNT10A,488,460,371,598,758,398
TMBIM1,32234,31445,32106,15109,13045,30141
CYP27A1,335,316,678,1016,1332,308
EIF4E2,5037,5089,3983,2633,2630,4421
ARMC9,2023,1808,1606,2891,3591,1871
CAB39,9816,9697,10052,5824,6259,9798
COX5B,4452,4837,3947,4180,3464,3791
REV1,1995,1962,2755,2463,2453,1817
TSGA10,257,260,187,266,494,115
MFSD9,1517,1547,1411,784,976,1132
TMEM127,5520,5399,6330,4005,3517,4439
EDAR,40,30,28,27,0,99
TGFBRAP1,1605,1664,1461,1300,1478,2056
GCC2,2262,2343,4081,3001,3271,1559
MRPS9,1703,1792,1146,743,992,1384
GPR45,2,0,0,0,0,0
C2orf49,1033,964,1166,1153,1349,727
ANKRD36,432,684,1373,1404,1516,263
EPC2,176,206,167,154,104,117
ARHGEF4,351,409,637,1510,625,1639
ISCU,3534,3827,4149,3997,5107,4230
ALDH1L2,57,37,115,118,114,193
STAB2,0,0,0,3,1,0
USP44,674,754,335,587,663,166
SCYL2,5556,5572,5337,3292,2935,3985
CKAP4,7427,7635,9002,5385,5435,13016
PLXNC1,168,280,110,370,415,150
APPL2,1353,1369,2064,2017,1733,1497
PWP1,3244,3332,2204,1257,1440,3404
DRAM1,7619,7596,4246,6413,8521,2416
WASHC4,3640,3719,3374,2311,2307,3779
SLC41A2,1698,1659,773,678,862,677
VILL,7046,7177,10436,5304,5381,7139
FLNB,12311,15588,12246,13128,17391,14876
NEK3,239,162,245,182,180,235
PCDH8,5,2,0,0,4,0
VPS36,2313,2725,2628,2731,2429,2767
RNASEH2B,1301,1393,857,880,1219,656
CKAP2,2028,2287,1004,762,750,1744
CNMD,0,0,0,3,0,0
TBC1D4,789,850,269,638,620,545
THSD1,257,263,221,73,149,521
BORA,558,531,369,199,229,326
LRCH1,383,381,430,333,334,590
SUCLA2,3693,3682,2882,2486,2158,3984
RCBTB1,1690,1682,925,792,1027,1599
MED4,2518,2616,2334,2333,2293,2121
PHF11,1410,1388,1522,839,828,994
RPL13AP25,0,2,5,0,0,2
COG3,1748,1908,2615,1826,2485,2093
LMO7,18815,18874,22705,12163,8888,8226
SCEL,15311,14547,27747,15199,3359,13558
ITM2B,14308,15137,24454,25780,24269,21763
SPRY2,2101,2230,1769,1902,2341,1881
NUDT15,2050,1957,1193,689,733,1801
EDNRB,23,6,33,37,76,30
RCBTB2,497,497,633,575,537,537
LCP1,2343,2058,530,175,234,414
SETDB2,488,587,464,402,495,419
SCRN1,5142,5714,6545,3923,4743,6406
C7orf25,56,89,98,56,83,86
TNS3,1119,1264,1500,996,1187,2081
SPDYE1,17,13,45,65,35,11
CHST12,583,516,650,811,949,583
IGF2BP3,74,105,431,189,169,1591
GPNMB,1427,1603,3122,1754,1435,1904
RAPGEF5,227,196,422,410,525,139
RAC1,17229,17621,18680,11742,11437,18732
KDELR2,14531,14396,11163,9277,12246,15023
NUP42,1292,1269,934,791,933,1014
IL6,35,23,124,117,148,711
ZDHHC4,2265,2496,1622,1900,2269,1767
AOAH,16,13,3,0,11,11
BZW2,4908,4883,3388,4127,5063,5450
DGKB,0,0,0,0,0,0
TBRG4,5011,5002,4137,2340,2474,5398
DDX56,5273,5075,4615,2369,2795,4651
HUS1,1491,1340,846,507,357,1042
NACAD,43,67,78,122,85,145
C7orf69,0,0,0,0,0,0
DBNL,10193,10349,12176,6632,5049,8562
CCM2,3734,3627,2230,1331,1457,3222
MYO1G,1461,1617,1486,2331,2684,921
TTYH3,2298,2457,3281,1646,2051,3874
MMD2,0,0,0,0,0,0
CIDEB,189,235,302,681,654,603
AL355922.1,0,0,0,0,0,0
TTC5,900,986,644,758,823,892
NKX2-8,37,49,14,9,33,26
NKX2-1,6350,6815,3184,6263,7647,1572
ZFHX2,21,36,39,29,44,4
MTHFS,1496,1545,936,1144,1384,962
ADAMTS7,60,57,154,69,119,568
ABHD17C,2293,2292,5222,2960,2693,3239
IREB2,1443,1570,1749,1076,1439,1313
ALPK3,264,270,450,184,294,197
TM6SF1,23,41,16,27,36,59
CIB2,58,37,63,133,51,105
CALCOCO2,4289,4311,4695,3690,3943,3255
RSAD1,1133,1347,1360,1517,1718,1436
NMT1,5665,5825,4502,3275,4160,4786
MYCBPAP,35,50,20,108,214,11
SRSF1,9066,9106,7373,4948,5026,7522
VEZF1,2792,2819,2698,1819,2276,1804
CHAD,12,15,47,56,48,15
TACO1,1036,1182,917,507,561,910
TEX2,2937,2319,2295,2509,3760,2807
DCAF7,4513,4333,3779,3583,3885,4317
GH2,0,0,0,0,0,0
CSH1,0,0,0,0,0,0
LIMD2,101,98,173,101,76,188
BRIP1,248,303,276,30,12,122
KAT7,2434,2559,2137,2150,2574,1974
RTP4,240,478,856,95,104,53
ACTL6A,3320,3393,2674,1666,1824,2648
NDUFB5,2276,2396,1725,1847,1791,2021
MRPL47,2195,2270,1441,883,814,1858
TRA2B,5684,6195,3789,2660,2873,4442
SCN2A,0,0,3,8,35,61
TBR1,1,0,3,0,0,0
MARCHF7,5346,5239,6881,5172,4712,6730
ERMN,1,0,10,0,0,0
GALNT5,6781,6891,10637,2672,3011,5673
SCN7A,1,0,2,75,29,13
TANK,3282,3434,3318,2566,2535,2641
BLK,4,2,2,2,3,2
GATA4,0,0,0,0,0,0
SKIL,1951,1829,2489,708,745,957
EPRS1,7371,7389,4811,4568,5335,7720
HLX,3,4,7,15,13,14
VPS45,2319,2429,2029,1725,1773,2102
IL10,1,3,3,30,19,20
KCTD3,2096,2086,2698,1926,2042,3005
RPS6KC1,1169,1236,1045,757,823,1384
CBWD2,2108,2394,1558,1534,1738,1438
IL36G,630,605,458,99,32,350
IL1RN,8763,8475,19885,9935,2397,25338
IL36A,1,6,42,529,20,17
IL36RN,96,45,147,748,44,246
IL36B,0,3,0,79,0,9
IL1F10,1,0,0,14,0,1
CFC1,0,0,0,0,0,0
SMPD4,4388,3936,3694,2114,2647,4137
WDR33,2683,2865,3140,2572,3113,2278
CCDC115,2010,1906,1980,2497,2609,1839
SAP130,1240,1202,1392,888,959,1041
BIN1,1724,1653,1729,731,794,1697
IMP4,3475,3680,2896,1795,2591,3723
HS6ST1,1837,1739,3276,2811,2868,3548
UGGT1,2280,2086,1649,1394,1403,2017
GYPC,71,91,386,213,248,680
STAM,3016,3084,1888,1370,1718,2346
GAD2,0,0,0,0,0,0
ABI1,4932,5166,6843,3732,3820,4230
YME1L1,10763,10890,10179,7211,8237,11445
DNAJC1,1760,1861,1262,1111,1234,1252
NIPSNAP3A,1709,1715,1054,1038,980,1728
LRRC8A,21801,21446,31342,11376,9549,21622
CDK9,3906,3769,4316,2606,2711,3375
TXN,20686,23485,12817,15402,10608,19588
ODF2,1963,2060,1416,1411,1833,2178
ECPAS,6401,6220,5540,4020,5322,6129
TOR1B,2377,2198,3032,995,986,1614
C9orf78,2503,2773,2229,1744,1785,2349
SMC2,1334,1548,829,518,749,1281
KLF4,371,353,2894,1516,780,1540
TOR1A,3519,3620,3179,1571,1698,3335
RALGPS1,488,668,672,653,804,229
NIBAN2,8534,8529,12476,7446,4134,7137
OR1J1,0,0,0,0,0,0
OR13C9,0,0,0,0,0,0
ST6GALNAC4,2146,2225,1371,1012,1262,1549
TMOD1,22,27,61,98,125,206
DAB2IP,1048,835,1208,696,865,1357
STXBP1,2530,2620,2307,2509,3356,2174
SLC2A8,1238,1127,1008,735,1015,1239
ANGPTL2,41,27,156,333,398,463
CDK5RAP2,1062,1307,1586,1272,1504,1568
ZFP37,26,23,37,60,69,57
SLC31A2,1297,1088,808,800,367,1402
SLC31A1,3416,3237,3769,2210,2436,4530
TLR4,47,0,21,0,0,42
ZNF189,391,438,355,334,354,168
ALDOB,14,3,3,0,0,0
STX17,1496,1512,1437,1218,1434,898
PRPF4,2164,2080,1800,1171,1441,2204
FPGS,6276,5915,3262,2579,3090,4509
USP20,1247,1386,1902,1578,1636,1282
BAAT,166,126,1,2,2,0
KIF12,107,108,33,84,93,30
ATP6V1G1,7624,8087,9267,6148,5659,8080
TEX10,1639,1619,1088,782,953,2241
GARNL3,118,108,148,219,329,148
MRPL50,2074,2006,1228,990,1187,1565
DPM2,2775,3087,1884,1893,2289,1843
WDR38,88,122,14,135,196,0
TSTD2,1181,1302,942,1221,1084,832
GABBR2,7,7,22,0,1,3
HEMGN,0,0,0,1,0,0
PSMB7,6749,6888,4808,2398,2447,6416
NR5A1,0,0,0,2,4,3
TRMO,587,571,516,366,370,405
RABEPK,1166,1214,607,632,640,1190
GOLGA1,1565,1560,1459,1164,1254,1511
XPA,608,607,759,825,781,668
NCBP1,4527,4885,3179,1458,1648,3577
ANP32B,2873,2920,2461,1936,2388,2490
OR1L4,0,0,0,0,0,0
PDCL,1198,1156,1049,779,952,837
RPL35,9091,9596,6088,5084,5239,9892
CTSV,753,583,1342,2579,193,1037
LMX1B,0,1,0,0,0,0
ARPC5L,5248,5330,4764,2285,2231,5146
ENPP2,12,22,6,99,121,127
DSCC1,204,247,185,23,15,192
DERL1,4260,4050,3780,2603,3686,4080
MYC,3436,3507,3487,1907,2105,5059
CCN3,178,204,64,34,104,121
IL33,116,201,283,2187,2558,494
DMAC1,645,801,582,756,964,768
RANBP6,1979,2083,2077,1499,1313,1542
POLR1E,615,572,327,208,306,738
PLAA,2412,2485,2148,1066,1367,2397
IL11RA,220,210,175,532,601,216
UBAP2,1721,1845,2259,1484,1459,2239
APTX,2102,2308,1560,1490,1753,1873
RNF38,1237,1142,1789,818,990,568
TLN1,10122,10684,7217,6733,8655,11658
CCL21,2,0,0,0,0,0
SIT1,1,0,0,0,0,0
IFNA21,0,0,0,0,0,0
DMRT1,1,0,0,0,2,9
DNAJB5,197,286,177,201,213,308
SPAG8,112,199,40,250,411,13
DCTN3,1688,1916,1517,1325,1132,1613
CD72,17,17,104,121,111,16
TMEM8B,498,556,1095,1331,1818,442
GRHPR,3117,3315,2394,1803,2124,3343
ALDH1B1,1842,1840,1439,424,569,2913
HINT2,1175,1328,828,807,905,747
ARHGEF39,311,299,333,386,361,305
IGFBPL1,49,61,14,28,12,17
DENND4C,3119,2861,3614,3842,4784,2807
RPS6,22589,23802,18935,20590,23665,23594
CNPY3,2585,2504,1836,1369,2000,1325
FOXP4,1434,1618,1202,1345,1841,982
PPIL1,1694,1656,1074,471,498,1533
KLC4,1290,1163,1033,1113,1448,488
KIF13A,619,631,664,657,585,1035
ZSCAN9,298,347,369,312,316,151
PIM1,1650,1642,4926,1988,1141,2241
GMPR,754,970,1007,148,222,311
CMTR1,3127,3455,4108,1595,2151,1999
TFAP2A,343,410,1355,945,1061,1363
SLC22A7,0,0,0,0,0,0
YIPF3,5503,5344,5748,3822,4426,4959
TMEM14B,3572,3670,1870,2299,2358,2293
TMEM63B,5382,5173,5138,2697,3395,4861
FRS3,108,87,91,149,204,65
TJAP1,456,500,564,454,509,350
CAPN11,0,0,0,0,0,0
TINAG,0,0,0,0,0,0
HCRTR2,0,0,0,0,0,0
KIAA0319,56,97,83,81,55,34
IRF4,13,17,8,4,10,0
SLC22A23,1523,1311,3663,2903,3706,1855
TUBB2A,3356,3087,2406,1373,627,6180
LRRC1,1672,1629,3073,1661,1596,2266
GCM1,2,1,5,0,0,0
FOXF2,105,79,275,438,428,918
BPHL,716,750,680,840,828,888
RIPK1,2408,2378,2692,1360,1532,2474
TUBB2B,98,91,50,107,62,112
UQCC2,1633,1780,1234,988,988,1069
HMGA1,12820,12727,16418,3629,2651,18926
TCF19,1164,1442,695,253,266,695
FLOT1,7434,7655,6279,7101,8416,3910
IER3,1406,1263,1805,956,1149,2804
MDC1,352,464,338,457,452,540
PGBD1,193,174,119,129,139,219
ATAT1,232,331,593,325,383,168
TPMT,2908,3192,1722,1028,1268,2559
CLPS,0,0,0,0,0,0
RNF144B,1676,1886,2109,1357,1414,1747
NRM,210,210,119,88,117,200
MTCH1,13141,13806,12139,9117,10877,10438
VARS2,2360,2630,1189,1317,1436,881
TAF8,922,924,928,711,860,599
FAM8A1,1940,2050,1824,2047,2451,2168
C6orf52,25,29,9,27,29,24
FGFBP1,4357,4352,3792,1791,1531,23522
FGFBP2,0,0,0,0,0,0
CPEB2,634,658,670,396,388,590
FHDC1,491,600,593,530,531,337
TLR2,1276,1350,2543,2559,2931,501
MGARP,8,8,1,19,17,20
TTC29,89,115,23,97,156,28
MYO7A,71,119,131,52,48,70
FCHSD2,845,1201,1766,1074,1584,874
ARRB1,2286,2454,966,936,1051,456
SLCO2B1,0,0,3,4,0,24
THAP12,1075,930,746,750,827,1082
ANKRD42,1066,882,1131,793,948,1059
IL18BP,5,19,47,76,53,19
NUMA1,4549,5490,7701,8290,9638,5742
